ID, Common Name, Cultivar, Source, S/V, P/V, HB/C, Bed Location, Comments
16601,Achillea millefolium,New Vintage Red,BA,V,P,,,
16602,Achillea millefolium,New Vintage Violet,BA,V,P,,,
16696,Brunnera macrophylla,Silver Charm PPAF PVR 4IN,TR,V,P,,,Arrived 6/1/2016
16626,Calendula,Amber Arctic,DU,V,P,,,
16627,Calendula,Nectarine & Frost,DU,V,P,,,
16628,Calendula,Oranges & Ice,DU,V,P,,,
16629,Calendula,Peach Polar,DU,V,P,,,
16677,Carex,Feather Falls PT16,PPL,V,P,,,
16697,Coreopsis,Buttermilk PPAF PVR 4IN,TR,V,P,,,Arrived 6/1/2016
16698,Coreopsis,Ladybird PPAF PVR 4IN,TR,V,P,,,Arrived 6/1/2016
16699,Coreopsis,Lightning Bug PPAF PVR 4IN,TR,V,P,,,Arrived 6/1/2016
16700,Coreopsis,Madras Magic PPAF PVR 4IN,TR,V,P,,,Arrived 6/1/2016
16630,Coreopsis,SunSwirl,DU,V,P,,,
16603,Coreopsis hybrida,UpTick Cream,BA,V ,P ,,,
16604,Coreopsis hybrida,UpTick Gold&Bronze,BA,V,P,,,
16605,Coreopsis hybrida,UpTick Yellow&Red,BA,V,P,,,
16631,Delosperma,WOW Fire Wonder,DU,V,P,,,
